N,Тип,Источник,Содержание сообщения,Оригинал сообщения,Дата,
29,Комментарий к посту/репосту,Группа,"Филя ,утухни ты уже ,королёк некоронованый.Наплодили себе детей пробирочных и вякаете на всех.Мы то без вас проживем,а вот вы без нас,ещё вопрос.И если честно вы уже походу всех задолбали,шуты.",0,02.05.2022 13:16:45,
30,Комментарий к посту/репосту,Группа,Поставьте эту блядину и программу никто смотреть не будет.,0,02.05.2022 13:11:59,
31,Комментарий к посту/репосту,Пользователь,"Все так зелено и цветет,а у нас только пролесочки зацвели и один жёлтый нарцис.Сегодня был первый гром,плохо,что на голый лес громыхнул.",0,02.05.2022 13:00:05,
32,Комментарий к посту/репосту,Группа,На эту мадам ещё кто-то подписан?,0,02.05.2022 12:27:08,
33,Комментарий к посту/репосту,Группа,"Мамашка полная дура,сносить такие издевательства не толь по отношению к себе,но и к детям-это нужно быть не знаю кем.",0,02.05.2022 11:50:25,
34,Комментарий к посту/репосту,Группа,"Блин ,извините -башкой",0,02.05.2022 11:43:30,
35,Комментарий к посту/репосту,Группа,"Зачем столько лет? Двух сильных мужчин,что бы взяли эту тварь и со всего маха об угол балкой,пусть сука дохнет.",0,02.05.2022 11:42:41,
36,Комментарий к посту/репосту,Группа,"Ну писец,лучший ведущий. Заменимых у нас нет.Показал  Максимка свое грязное нутро ,вот и пожинай свои плоды.о",0,02.05.2022 11:36:11,
37,Комментарий к посту/репосту,Группа,"Блин,сколько живу,столько эта хрипатая поёт.Если честно уже от неё устала.Ещё Вайкуле что,то вякает-блеющая коза.И интересно ,кто её примадонной возомнил? Как говорят,сам себя не похвалишь,никто не похвалит..",0,02.05.2022 11:20:37,
38,Комментарий к посту/репосту,Группа,"Да кому этот чёрт интересен? Чмошник обосрался перед россиянами,теперь пытается из себя невинного козла сделать.Вот это чмо не жалко.Свалил ,а мы про такое оно забыли.",0,02.05.2022 11:10:01,
39,Комментарий к посту/репосту,Группа,Скорей всего -это пьяный шмель.Мух пьяный пепельный.,0,02.05.2022 11:01:43,
40,Комментарий к посту/репосту,Группа,"Подождите,Малахов всем проституткам и проститутам уехавшим хорошие бабосики заплатит,что бы на этих посмотрели,матом ругатся не хочется.По мне ,всех бляденышей на карандаш и пусть потом попробуют вякнуть,твари а не люди.",0,02.05.2022 10:44:46,
41,Комментарий к посту/репосту,Группа,"Пусть в своей семье порядок наведет,а потом лезед дальше,сучка с обрезанными сиськами .",0,02.05.2022 10:36:43,
42,Комментарий к посту/репосту,Группа,"Как уже задолбали эти новости про Максика,сдулся сученыш и флаг тебе голубой в руки.Больше писать не о ком,только эти прости господи везде.",0,02.05.2022 10:29:10,
43,Комментарий к посту/репосту,Группа,"Ну предки и дебилы,если бы не связали ноги корове,то ребёнок мог сильно пострадать.Корова не лощадь-лягает ногой в лево или в право,а не назад.И не каждая животина потерпит такое отношение к себе.",0,28.04.2022 08:12:46,
44,Комментарий к посту/репосту,Группа,"Лично моё мнение-те кто прошёл через дом-2 ,для меня не люди,а проститутки,хоть мужики,хоть бабы.",0,28.04.2022 07:30:41,
45,Комментарий к посту/репосту,Группа,"Вообще оболдеваю,эти твари обгадили Россию и нас с вами и ещё какие-то условия выставляют.Уроды,вы что,совсем берега попутали?Вы нам даже бесплатно нахрен не нужны.Была бы моя воля,всю эту шваль близко к нашей границе не подпустила.",0,25.04.2022 09:50:20,
46,Комментарий к посту/репосту,Группа,"Ищи дураков там,куда смоталась.",0,25.04.2022 09:41:58,
47,Комментарий к посту/репосту,Группа,"Ты ещё доживи,что бы палочку в руки взять.Все таки за живое хохлов зацепил этот список.Думали твари и дальше будут тявкать на Россию и к нам же приезжать и бабосики зарабатывать-не вышло.Теперь посмотрим,где вы будитезарабатывть?а",0,25.04.2022 09:28:01,
48,Комментарий к посту/репосту,Группа,"Извините,хотела написать-вправлять.",0,25.04.2022 09:15:41,
49,Комментарий к посту/репосту,Группа,"Успенская,у тебя вся твоя жизнь тогда трагедия? Вообще охренели,что говорят.Походу всем этим нужно принудительно мозги управлять",0,25.04.2022 09:14:42,
50,Комментарий к посту/репосту,Группа,"Два дебила -это сила .У Кличко походу мозг совсем усох .А этот гандон Гордон ещё пока  на Украине,или сдриснул куда подальше?",0,25.04.2022 08:57:53,
51,Комментарий к посту/репосту,Группа,"Сидите уже старые козлы ровно на жопе .Господи,уже о вечном нужно думать,а эти маразматики все во власть лезут,задолбали уже.",0,25.04.2022 08:53:13,
52,Комментарий к посту/репосту,Группа,"А чиновники что,только деньги умеют воровать из бюджета? Прикинулись овечками.Таких людей принудительно нужно лечить.И здесь чинуши должны помочь,а не прятать голову в песок.",2,25.04.2022 08:48:32,
53,Комментарий к посту/репосту,Группа,"Але господа,нахрена мне погода за 15 число,на календаре уже 25 тое.",0,25.04.2022 08:24:41,
54,Комментарий к посту/репосту,Группа,"В молодости из Кемерово в сторону Новосибирска ездили покупать в Болтоном пепси- колу-вот был продукт,на ура.А сейчас эту хрень вообще не берём,изчез и слава богу,травить нас не будут.Черноголовка наша ни чем не хуже,а скорей всего и лучше.",0,24.04.2022 14:27:44,
55,Комментарий к посту/репосту,Группа,"Это ещё ничего,можно чистить.А в моё детство отец обожал зимнюю рыбалку и привозил по два,три ведра ершей,вот где мука была чистить.С тех пор ненавижу речную рыбу.",0,24.04.2022 14:09:39,
56,Комментарий к посту/репосту,Группа,"Размывали,размывали,а потом взяли и обосрали.Вот теперь вы нам нафиг не нужны.Своих молодых и более талантливых чем вы у нас хватает.",0,24.04.2022 13:53:22,
57,Комментарий к посту/репосту,Группа,"Сергей ,100 градусов и при открыта духовке.Все нормально получается.Делаю такой чай уже 4 года.Многие стали просить,не даю,хотят,пусть сами делают.В моём возрасте уже тяжело всех обеспечить.",0,24.04.2022 12:09:47,
58,Комментарий к посту/репосту,Группа,"Как говорят,вашем же салом,вам и по мусалам.Забирайте ребята эти боеприпасы и долбите нациков до конца,что бы их геном исчез с земли-матушки.",0,24.04.2022 11:55:14,
59,Комментарий к посту/репосту,Группа,"Блин,а у меня не хотят расти не они,не васильки.",0,24.04.2022 11:50:23,
60,Комментарий к посту/репосту,Группа,"Кто эта Америка?Жили на своей земле спокойно индейцы,приперлись сбежавшие убийцы,насильника за золотом,потом притащились проститутки.Вот из этой швали появились америкосы.У них за душой нет ничего святого,только убить,подчинить, изнасиловать.На большее у них генетически мозгов не хватит.Берут твари все,что им нужно нахрапом.А вот сейчас их гигимония пошатнулась,вот и  бесятся  бесы конченные.",0,24.04.2022 11:47:29,
61,Комментарий к посту/репосту,Группа,"Как красиво! Но сейчас такие цены на бисер,тейпленту и все остальное,что и занимается не захочешь.",0,24.04.2022 10:52:50,
62,Комментарий к посту/репосту,Пользователь,"Тоже сумела вырастить ,ещё и пчелкам оставляю цвет очков,пусть нектар собирают.Все мои знакомые у меня берут .",0,22.04.2022 06:35:32,
63,Комментарий к посту/репосту,Группа,"Виктор,а нахрена они нам нужны в деревнях и поселках? Каждый день видеть их проданные,трусливый морды,чтоб они своими погаными ногами ходили по земле,которую предали в трудную минуту? Нет уж,уехали так уехали ,закрыть им дорогу в Россию.",0,21.04.2022 08:35:01,
64,Комментарий к посту/репосту,Группа,"Да пошла она нахрен тварь конченная.Обосрала Россию и нас с вами по полной,а теперь сюда засобиралась уродина.Сидитам сучк.а",0,19.04.2022 20:14:27,
65,Комментарий к посту/репосту,Группа,"Симпапулька ушастая!У нас один из семи штук,тоже сфинкс.Внучке пришлось у нас оставить двухмесячный,сейчас ему четыре года будет.Точно пишут,как собачка,спит со мной и на мне.Что бы не делала ,всегда рядом.На улицу ломится,выводу только когда тепло,одежду не любит .Пишут,что усов нет у них,у нашего есть,правда закручиваются.Любимый бандюган.",0,19.04.2022 06:34:30,
66,Комментарий к посту/репосту,Группа,"Я так думею,у нас в России её бы называли- бомжиха.",0,18.04.2022 07:58:05,
67,Комментарий к посту/репосту,Группа,У наших ушастых в стайке клетки для каждого в четыре раза больше.Жаль ушастика.,0,17.04.2022 20:33:58,
68,Комментарий к посту/репосту,Группа,Зачем вообще давать наше гражданство этим иносранцам?,0,17.04.2022 20:17:28,
69,Комментарий к посту/репосту,Группа,У этой мадам есть поклонники?,0,17.04.2022 19:51:38,
70,Комментарий к посту/репосту,Группа,"Какие учения? Этот ушлепок ничего не может,только пиарится с железной в руках.",0,17.04.2022 19:49:37,
71,Комментарий к посту/репосту,Группа,"Вот сучара,сначала тявкал на Россию,теперь денежек захотелось.Ну,ну приезжай недомужик,мы тебя встретим,надолго запомнить,гаденыш конченный.",0,17.04.2022 19:47:31,
72,Комментарий к посту/репосту,Группа,Вот пусть тварь случайно посидит лет 20.А лучше так же случайно сжечь.,0,17.04.2022 05:59:01,
73,Комментарий к посту/репосту,Группа,"А с этого рыжего козла вытряхнуть все деньги,которые он наворовал.Его уже давно к стенке нужно поставить.",0,16.04.2022 21:36:22,
74,Комментарий к посту/репосту,Группа,"Какие глупые и наивные люди.Вы во все это верите? Как говорят-не потопаешь,не полопаешь.Блин смешно право.",0,16.04.2022 21:33:56,
75,Комментарий к посту/репосту,Группа,"Господа,вообще-то говорят не палка колбасы,а батон колбасы.В своё время училась на продавца.",0,16.04.2022 21:27:39,
76,Комментарий к посту/репосту,Группа,"У нас семь подбирашек,но на коробки они вообще никак не реагируют,хотя нет,если приносим домой коробку из дровника с нарванными коробками в ней,то коты успеют её пометить до того когда ты успеешь её убрать в кочегарку.",0,16.04.2022 19:19:12,
77,Комментарий к посту/репосту,Группа,"Полный пипец,столько проблем,а эти деньги на ветер выкинут.",0,16.04.2022 19:06:57,
78,Комментарий к посту/репосту,Группа,"Поедем красотка кататься,давно я тебя поджидал.Если он так написал,то ему можно ответить-не долго музыка играла,недолго фраер танцевал. Поживем,увидим,что с ним станет.",0,16.04.2022 19:05:03,
79,Комментарий к посту/репосту,Группа,"Живём на угле,а толку? Цены задирают каждый год за тонну угля.Выписывам сортовой,привозят  тонны две обязательно мелочь.Ещё убрали две тонны на топку печи в бане.Выкапывают у нас уголь по полной,скоро провалилимся в преисподнею.",0,16.04.2022 18:02:57,
80,Комментарий к посту/репосту,Группа,"Хорошее стихотворене.Я сначала подумала,что на фото наш Пират,но наш,теперь наш с одним глазиком,какая-то сволочь второй выбила.Прибился к нам,жил на сеновале,кушать выходил,когда никого рядом небыло,боялся людей.Но это все позади.Теперь ласковый,отъевшийся котяра.Седьмой по счету подбирашка.Жалейте животинок,не их вина,что они оказались на улице.и",0,14.04.2022 06:23:19,
81,Комментарий к посту/репосту,Группа,"Действительно,принимайте быстрее,нечего мямлить .А вся эта шелупонь,которая захочет свалить,а потом облить грязью Россию,пусть сначала по думают сто раз прежде чем рот разинуть.Хватит уже нам быть добренькими.",0,12.04.2022 08:44:48,
82,Комментарий к посту/репосту,Группа,"Доброе сердце у него,а МЧСникам позор.",0,08.04.2022 08:56:27,
83,Комментарий к посту/репосту,Пользователь,"Если это правда,то всех в плен,а потом на весь шарик их показать.Посмотрим как потом оправдываться будут.",0,07.04.2022 22:36:16,
84,Комментарий к посту/репосту,Группа,"Извините ,не прячутся,а трясутся .",0,07.04.2022 22:27:00,
85,Комментарий к посту/репосту,Группа,"Говорят вроде там под землю уходят семь этажей.Вряд ли прбьет снаряд на такую глубину.А вот было бы много воды,можно было бы затопить.И все эти крысы мигом на поверхность вылезут,за свои шкуры эти нацики прячутся.",0,07.04.2022 22:26:05,
86,Комментарий к посту/репосту,Группа,"У нас тоже два подбирашки на цепях.Зато эти цепи на бегунках на проволоке.один бегает метров на десять,а вторая вообще кайфует,у нееоколо 15 метров.",0,06.04.2022 18:51:02,
87,Комментарий к посту/репосту,Группа,"А почему наши америкосам продают нефть? Перестать с ними торговать и посмотрим как запрыгают.А то как-то интересно получается ,америкосы на нас всех собак спустили,а мы с ними продолжаем торговать.",0,05.04.2022 18:55:18,
88,Комментарий к посту/репосту,Группа,"Допрыгается эта собчачка со своим поганым языком,доведет кого-нибудь,оторвут ей головенку.",0,05.04.2022 18:04:25,
89,Комментарий к посту/репосту,Группа,"Российская публика ждала? Кого? Эту светскую львицу? Да это чухонка высокого  о себе мнения.Обгадилась,ну хоть попыталась отмытся,а вонь то от тебя осталась.",0,05.04.2022 17:44:08,
90,Комментарий к посту/репосту,Группа,"Опять ТЦ,заводы и фабрики востановите.",0,05.04.2022 17:20:55,
91,Комментарий к посту/репосту,Группа,Да когда уже рот заткнуть этой мразоте? Приперласть тварина и сразу помои из неё потекли.,0,05.04.2022 08:56:49,
92,Комментарий к посту/репосту,Группа,Да уберите уже это чмо.,0,04.04.2022 15:58:14,
93,Комментарий к посту/репосту,Группа,"Я уже писала про эту мадам,что пока не родит,будет носится со своим пузом ,как курица с яйцом.Такое ощущение,что у нас только эта беременная,а остальные женщины ,кто ждут малышей просто погулять вышли.Уже тошнит от неё,достала.",0,04.04.2022 15:26:25,
94,Комментарий к посту/репосту,Группа,"Причём тут бог и Ванга.Вспомните пословицу-на бога надейся,а сам не плошай.",0,04.04.2022 15:21:00,
95,Комментарий к посту/репосту,Группа,"Помню как эта мадам пиарилась за счёт больного мужа,а теперь из себя овечку невинную строит.Неприятная особа.",0,04.04.2022 15:07:26,
96,Комментарий к посту/репосту,Группа,"Востановите все наше-заводы,фабрики и нахрен нам не нужно будет зарубежное.Все же развалились.",0,04.04.2022 14:19:45,
97,Комментарий к посту/репосту,Группа,Эта красотка свалила из России и флаг ей в руки.,0,04.04.2022 14:16:56,
98,Комментарий к посту/репосту,Группа,Лучше ограничте наценку на зарубежное дерьмо.,0,04.04.2022 14:15:19,
99,Комментарий к посту/репосту,Группа,"Офигеть,он ещё условия выдвигает.Какие вина и машина? Тебе сейчас даже кружки пива не подадут и пешком отправят куда подальше.",0,04.04.2022 06:52:56,
100,Комментарий к посту/репосту,Группа,И зачем таких показывать?,0,01.04.2022 10:01:00,
101,Комментарий к посту/репосту,Группа,"Теперь самое главное,чтоб таких ,,любителей Родины,, обратно не запускать.",0,01.04.2022 09:59:27,
102,Комментарий к посту/репосту,Группа,"Ну все,пока не родит ,будем её скулеж читать.",0,01.04.2022 08:56:37,
103,Комментарий к посту/репосту,Группа,Лишить гражданства и больше не впускать в Россию.Я даже не знаю кто это? И такие чмошники сдесь не нужны,0,31.03.2022 09:45:29,
104,Комментарий к посту/репосту,Группа,"Люди,ну вы что,лошадь,да лошадь.Лошадь прекрасное,грациозные,умное животное.А вот для такой твари как эта даже названия сразу культурного не при думаешь,одни матерные в голову приходят.Забудем уже про эту.",0,31.03.2022 06:12:54,
105,Комментарий к посту/репосту,Группа,"Ну насмешил.Согласен он петь у нас.А ты спросил,захотим мы тебя слушать?",0,30.03.2022 08:23:54,
106,Комментарий к посту/репосту,Группа,"А вас предупреждали,хранитель деньги у нас.Не захотели,вот и получите.Вы думали,что там ваше бабло будет неприкосновенным и вы сами тоже? Как у нас говорят,,получил фашист гранату,,.",0,30.03.2022 07:02:39,
107,Комментарий к посту/репосту,Группа,"Да Роднина  завидует нашим фигуристами,чёрной зависть завидует.В своё время так не могла откатать программу,вот жаба и душит.И действительно вопрос,что она делает в думе со вторым гражданством?Гнать надо таких.",0,30.03.2022 06:58:33,
108,Комментарий к посту/репосту,Группа,"Ну и дура мамашка.Троих родила,а не знает,что врачи не рекомендуют таскать детей до трёх лет по разным климатическим зонам.У детского иммунитета ещё мало сил справляется со всем этим.",0,30.03.2022 06:52:49,
109,Комментарий к посту/репосту,Группа,"Высоко все эти звездульки себя вознесли,тем большее падать.",0,29.03.2022 20:59:47,
110,Комментарий к посту/репосту,Группа,"Да её и бесплатно слушать не буду.Действительно,пусть вместе с Валеркой дома воют.",0,29.03.2022 20:57:47,
111,Комментарий к посту/репосту,Группа,"Люда милая,какой мир? Поневоле пришлось оставить у себя 2х мес сфинкса.Выросло лысое чудо,ему летом будет 4 года.Господи ребёнка не нужно.От него отдыхают только тогда,когда спит.Ночью спит на мне.Ходит целыми днями за мной как хвостик.Только сядешь,он уже на коленках.В туалет или ванну,сидит и орет под дверью.Есть ещё шесть подбирашек.Хорошо,что есть стайка с кроликами и курями,они периодически мигрируют туда сюда.А вот этот бандит только дома.Так что ,мир мне только снится.А сейчас зацвели гиппиаструмы,красные нынче обалденные.",0,29.03.2022 20:11:05,
112,Комментарий к посту/репосту,Группа,"Что не блядь из дома-2,то что-то из себя корчит.Что самка закупилась прокладками? Если да,то заткни ими все свои дырки и не вякай.После всех твоих высказываний,кому ты нужна?",0,29.03.2022 19:54:46,
113,Комментарий к посту/репосту,Группа,"Закрыть таким тварям дорогу в Россию и пусть брызжит слюной от злости подальше от нас.Как говорят шавка  лает ,а караван идёт.Дружно забыли про этих и им хана.",0,29.03.2022 19:36:38,
114,Комментарий к посту/репосту,Группа,"Какие 5 литров?А 4,5 не хотели.Цена поднялась в два раза.У нас такая же фигня,к рыбе в Мария на не подойдешь,волосы дыбом от ценников.Совсем корпорации берега потеряли.",0,29.03.2022 19:29:27,
115,Комментарий к посту/репосту,Группа,"А самим слабо постряпать?Пусть задирают цены,не покупайте такие товары хотя бы месяц.Что сдохните без печенек? Когда торгаши поймут,что товар игнорируют ,спустят цены с неба на землю.",0,29.03.2022 19:17:35,
116,Комментарий к посту/репосту,Группа,"У меня на мой вопрос,ответ,что хочешь.Да ничего я не хочу.40 лет торчать у плиты,готовя для семьи,все мои хотелки закончились.",0,29.03.2022 11:19:51,
117,Комментарий к посту/репосту,Группа,"А зачем нам знать ,где и кого он имеет.Предатель родины.",0,29.03.2022 11:16:05,
118,Комментарий к посту/репосту,Группа,"Моя через три года такая стала.Действительно,когда цветет  очень красиво.",0,29.03.2022 11:12:10,
119,Комментарий к посту/репосту,Группа,"А у нас их две и убирать никуда не собираюсь,хоз.мыло и доска-отстирывают белые носки на ура.",0,29.03.2022 10:56:08,
120,Комментарий к посту/репосту,Группа,"А наш точно такой водохлеб цветет весь год.Только собирешься его немного обрезать,а он походу не хочет-сразу выкидывает бутоны.",0,29.03.2022 06:22:18,
121,Комментарий к посту/репосту,Группа,"Обгадил Россию и россиян,все не въездной урод.Чтоб ноги его у нас не было.",0,28.03.2022 14:31:12,
122,Комментарий к посту/репосту,Группа,"Отхреначить плетьми,чтоб живого места не осталось.Может тогда мозги включается.Хотя вряд ли,таких ушлепков только магила исправит .",0,28.03.2022 14:21:49,
123,Комментарий к посту/репосту,Группа,"Офигеть,я сначала подумала,что они живые.Браво мастерице!",0,28.03.2022 11:55:25,
124,Комментарий к посту/репосту,Группа,"Не хочет возвращается,да и чёрт с ней,не велика потеря.",0,28.03.2022 11:43:47,
125,Комментарий к посту/репосту,Группа,"Она что,по одному стежку в день делала? Что-то долго вышивала.",0,28.03.2022 11:38:55,
126,Комментарий к посту/репосту,Группа,Сделать невыездным за его поганый язык и пусть в другом месте зарабатывает.,0,28.03.2022 11:29:21,
127,Комментарий к посту/репосту,Группа,"Блин,как красиво!И как рукодельницы эту красоту создают?Цветочки такие маленькие.",0,28.03.2022 11:15:31,
128,Комментарий к посту/репосту,Группа,"Это чмо,что живёт в параллельном мире? Или папашка не объяснил ей,что такое жизнь?Я вообще хуеею от Песок свою доченьку приструнивысказываний деток наших властьимущих.Вот вырастили выблядков,просто порожаюсь,одни уроды.Нет ни чести ,ни совести ,ни родины ,ни флага.",0,26.03.2022 17:47:34,
129,Комментарий к посту/репосту,Группа,"Да десять куч на это чмо.Сколько развелись дармоедов.Забудьте про них и сразу увидите их на производстве,голод не тётка.",0,26.03.2022 15:00:21,
130,Комментарий к посту/репосту,Группа,"А скольких бросили?И они бедные или умрут от голода ,или подорвутся на минах.Кошки хоть мышей половят,а вот собаки? Просто жесть.А люди молодцы,что спасают своих питомцев.",0,26.03.2022 14:55:43,
131,Комментарий к посту/репосту,Группа,"Ой блин сынка поймали на границе,хотел смытся,завернули-служи дурак нацикам,за каторых твоя мамашка злючка ратовала.А для нас эта мадам пройденный этап.Свалила,мы про тебя забыли и обратно не ждём.И пофиг,что там с тобой будет.Но не дай бог,если наши некоторые придурки её примут,выследить и выкинуть из нашей страны.Предатели нам не нужны .И так шкур очень много у нас.",0,26.03.2022 14:50:36,
132,Комментарий к посту/репосту,Группа,"Вот этотой дебильной консъержки пиздюлей и ввалите.Убила бытварь бессердечную,гоните её из вашего дома.",0,26.03.2022 14:44:34,
133,Комментарий к посту/репосту,Группа,"О чем с этими шутками договаривается? Продались байдену.Никчемные людишки.Они по телику визжали,что нас уничтожат,так вот,вас уже наши ребята уничтожают ,нациков конечных.И ваши хохлушки как обслуживали запад,так и будут обслуживать в сексуальном плане.А то ,что некоторые чмошницы хохлянские визат,что они к нам приедут работать нянями и типа они будут резать наших детей,спасибо дура,теперь вас никто нанимать не будет.А народ российский уже на взводе,достали вы твари уже всех ,будите рыпатся в нашей стране-порвем на куски и менты не успеют вам ублюдкам помочь.Так что,прежде чем тявкать в нашу сторону,подумайте о последствиях,вас уже жалеть никто не будет,только уничтожение.",0,26.03.2022 14:33:45,
