,X,pred
30,"все так зелено и цветет,а у нас только пролесочки зацвели и один жёлтый нарцис.сегодня был первый гром,плохо,что на голый лес громыхнул.",0
31,на эту мадам ещё кто-то подписан?,0
32,"мамашка полная дура,сносить такие издевательства не толь по отношению к себе,но и к детям-это нужно быть не знаю кем.",2
33,"блин ,извините -башкой",0
34,"зачем столько лет? двух сильных мужчин,что бы взяли эту тварь и со всего маха об угол балкой,пусть сука дохнет.",0
35,"ну писец,лучший ведущий. заменимых у нас нет.показал  максимка свое грязное нутро ,вот и пожинай свои плоды.о",0
36,"блин,сколько живу,столько эта хрипатая поёт.если честно уже от неё устала.ещё вайкуле что,то вякает-блеющая коза.и интересно ,кто её примадонной возомнил? как говорят,сам себя не похвалишь,никто не похвалит..",0
37,"да кому этот чёрт интересен? чмошник обосрался перед россиянами,теперь пытается из себя невинного козла сделать.вот это чмо не жалко.свалил ,а мы про такое оно забыли.",2
38,скорей всего -это пьяный шмель.мух пьяный пепельный.,0
39,"подождите,малахов всем проституткам и проститутам уехавшим хорошие бабосики заплатит,что бы на этих посмотрели,матом ругатся не хочется.по мне ,всех бляденышей на карандаш и пусть потом попробуют вякнуть,твари а не люди.",0
40,"пусть в своей семье порядок наведет,а потом лезед дальше,сучка с обрезанными сиськами .",0
41,"как уже задолбали эти новости про максика,сдулся сученыш и флаг тебе голубой в руки.больше писать не о ком,только эти прости господи везде.",0
42,"ну предки и дебилы,если бы не связали ноги корове,то ребёнок мог сильно пострадать.корова не лощадь-лягает ногой в лево или в право,а не назад.и не каждая животина потерпит такое отношение к себе.",0
43,"лично моё мнение-те кто прошёл через дом-2 ,для меня не люди,а проститутки,хоть мужики,хоть бабы.",2
44,"вообще оболдеваю,эти твари обгадили россию и нас с вами и ещё какие-то условия выставляют.уроды,вы что,совсем берега попутали?вы нам даже бесплатно нахрен не нужны.была бы моя воля,всю эту шваль близко к нашей границе не подпустила.",0
45,"ищи дураков там,куда смоталась.",0
46,"ты ещё доживи,что бы палочку в руки взять.все таки за живое хохлов зацепил этот список.думали твари и дальше будут тявкать на россию и к нам же приезжать и бабосики зарабатывать-не вышло.теперь посмотрим,где вы будитезарабатывть?а",0
47,"извините,хотела написать-вправлять.",0
48,"успенская,у тебя вся твоя жизнь тогда трагедия? вообще охренели,что говорят.походу всем этим нужно принудительно мозги управлять",0
49,"два дебила -это сила .у кличко походу мозг совсем усох .а этот гандон гордон ещё пока  на украине,или сдриснул куда подальше?",2
50,"сидите уже старые козлы ровно на жопе .господи,уже о вечном нужно думать,а эти маразматики все во власть лезут,задолбали уже.",0
51,"а чиновники что,только деньги умеют воровать из бюджета? прикинулись овечками.таких людей принудительно нужно лечить.и здесь чинуши должны помочь,а не прятать голову в песок.",0
52,"але господа,нахрена мне погода за 15 число,на календаре уже 25 тое.",0
53,"в молодости из кемерово в сторону новосибирска ездили покупать в болтоном пепси- колу-вот был продукт,на ура.а сейчас эту хрень вообще не берём,изчез и слава богу,травить нас не будут.черноголовка наша ни чем не хуже,а скорей всего и лучше.",0
54,"это ещё ничего,можно чистить.а в моё детство отец обожал зимнюю рыбалку и привозил по два,три ведра ершей,вот где мука была чистить.с тех пор ненавижу речную рыбу.",0
55,"размывали,размывали,а потом взяли и обосрали.вот теперь вы нам нафиг не нужны.своих молодых и более талантливых чем вы у нас хватает.",1
56,"сергей ,100 градусов и при открыта духовке.все нормально получается.делаю такой чай уже 4 года.многие стали просить,не даю,хотят,пусть сами делают.в моём возрасте уже тяжело всех обеспечить.",0
57,"как говорят,вашем же салом,вам и по мусалам.забирайте ребята эти боеприпасы и долбите нациков до конца,что бы их геном исчез с земли-матушки.",0
58,"блин,а у меня не хотят расти не они,не васильки.",0
59,"кто эта америка?жили на своей земле спокойно индейцы,приперлись сбежавшие убийцы,насильника за золотом,потом притащились проститутки.вот из этой швали появились америкосы.у них за душой нет ничего святого,только убить,подчинить, изнасиловать.на большее у них генетически мозгов не хватит.берут твари все,что им нужно нахрапом.а вот сейчас их гигимония пошатнулась,вот и  бесятся  бесы конченные.",0
60,"как красиво! но сейчас такие цены на бисер,тейпленту и все остальное,что и занимается не захочешь.",0
61,"тоже сумела вырастить ,ещё и пчелкам оставляю цвет очков,пусть нектар собирают.все мои знакомые у меня берут .",0
62,"виктор,а нахрена они нам нужны в деревнях и поселках? каждый день видеть их проданные,трусливый морды,чтоб они своими погаными ногами ходили по земле,которую предали в трудную минуту? нет уж,уехали так уехали ,закрыть им дорогу в россию.",0
63,"да пошла она нахрен тварь конченная.обосрала россию и нас с вами по полной,а теперь сюда засобиралась уродина.сидитам сучк.а",0
64,"симпапулька ушастая!у нас один из семи штук,тоже сфинкс.внучке пришлось у нас оставить двухмесячный,сейчас ему четыре года будет.точно пишут,как собачка,спит со мной и на мне.что бы не делала ,всегда рядом.на улицу ломится,выводу только когда тепло,одежду не любит .пишут,что усов нет у них,у нашего есть,правда закручиваются.любимый бандюган.",0
65,"я так думею,у нас в россии её бы называли- бомжиха.",0
66,у наших ушастых в стайке клетки для каждого в четыре раза больше.жаль ушастика.,2
67,зачем вообще давать наше гражданство этим иносранцам?,0
68,у этой мадам есть поклонники?,0
69,"какие учения? этот ушлепок ничего не может,только пиарится с железной в руках.",0
70,"вот сучара,сначала тявкал на россию,теперь денежек захотелось.ну,ну приезжай недомужик,мы тебя встретим,надолго запомнить,гаденыш конченный.",0
71,вот пусть тварь случайно посидит лет 20.а лучше так же случайно сжечь.,0
72,"а с этого рыжего козла вытряхнуть все деньги,которые он наворовал.его уже давно к стенке нужно поставить.",0
73,"какие глупые и наивные люди.вы во все это верите? как говорят-не потопаешь,не полопаешь.блин смешно право.",0
74,"господа,вообще-то говорят не палка колбасы,а батон колбасы.в своё время училась на продавца.",0
75,"у нас семь подбирашек,но на коробки они вообще никак не реагируют,хотя нет,если приносим домой коробку из дровника с нарванными коробками в ней,то коты успеют её пометить до того когда ты успеешь её убрать в кочегарку.",0
76,"полный пипец,столько проблем,а эти деньги на ветер выкинут.",0
77,"поедем красотка кататься,давно я тебя поджидал.если он так написал,то ему можно ответить-не долго музыка играла,недолго фраер танцевал. поживем,увидим,что с ним станет.",0
78,"живём на угле,а толку? цены задирают каждый год за тонну угля.выписывам сортовой,привозят  тонны две обязательно мелочь.ещё убрали две тонны на топку печи в бане.выкапывают у нас уголь по полной,скоро провалилимся в преисподнею.",0
79,"хорошее стихотворене.я сначала подумала,что на фото наш пират,но наш,теперь наш с одним глазиком,какая-то сволочь второй выбила.прибился к нам,жил на сеновале,кушать выходил,когда никого рядом небыло,боялся людей.но это все позади.теперь ласковый,отъевшийся котяра.седьмой по счету подбирашка.жалейте животинок,не их вина,что они оказались на улице.и",0
80,"действительно,принимайте быстрее,нечего мямлить .а вся эта шелупонь,которая захочет свалить,а потом облить грязью россию,пусть сначала по думают сто раз прежде чем рот разинуть.хватит уже нам быть добренькими.",0
81,"доброе сердце у него,а мчсникам позор.",0
82,"если это правда,то всех в плен,а потом на весь шарик их показать.посмотрим как потом оправдываться будут.",0
83,"извините ,не прячутся,а трясутся .",0
84,"говорят вроде там под землю уходят семь этажей.вряд ли прбьет снаряд на такую глубину.а вот было бы много воды,можно было бы затопить.и все эти крысы мигом на поверхность вылезут,за свои шкуры эти нацики прячутся.",2
85,"у нас тоже два подбирашки на цепях.зато эти цепи на бегунках на проволоке.один бегает метров на десять,а вторая вообще кайфует,у нееоколо 15 метров.",0
86,"а почему наши америкосам продают нефть? перестать с ними торговать и посмотрим как запрыгают.а то как-то интересно получается ,америкосы на нас всех собак спустили,а мы с ними продолжаем торговать.",0
87,"допрыгается эта собчачка со своим поганым языком,доведет кого-нибудь,оторвут ей головенку.",0
88,"российская публика ждала? кого? эту светскую львицу? да это чухонка высокого  о себе мнения.обгадилась,ну хоть попыталась отмытся,а вонь то от тебя осталась.",0
89,"опять тц,заводы и фабрики востановите.",0
90,да когда уже рот заткнуть этой мразоте? приперласть тварина и сразу помои из неё потекли.,0
91,да уберите уже это чмо.,0
92,"я уже писала про эту мадам,что пока не родит,будет носится со своим пузом ,как курица с яйцом.такое ощущение,что у нас только эта беременная,а остальные женщины ,кто ждут малышей просто погулять вышли.уже тошнит от неё,достала.",2
93,"причём тут бог и ванга.вспомните пословицу-на бога надейся,а сам не плошай.",0
94,"помню как эта мадам пиарилась за счёт больного мужа,а теперь из себя овечку невинную строит.неприятная особа.",0
95,"востановите все наше-заводы,фабрики и нахрен нам не нужно будет зарубежное.все же развалились.",0
96,эта красотка свалила из россии и флаг ей в руки.,1
97,лучше ограничте наценку на зарубежное дерьмо.,0
98,"офигеть,он ещё условия выдвигает.какие вина и машина? тебе сейчас даже кружки пива не подадут и пешком отправят куда подальше.",0
99,и зачем таких показывать?,0
100,"теперь самое главное,чтоб таких ,,любителей родины,, обратно не запускать.",0
101,"ну все,пока не родит ,будем её скулеж читать.",0
102,лишить гражданства и больше не впускать в россию.я даже не знаю кто это? и такие чмошники сдесь не нужны,0
103,"люди,ну вы что,лошадь,да лошадь.лошадь прекрасное,грациозные,умное животное.а вот для такой твари как эта даже названия сразу культурного не при думаешь,одни матерные в голову приходят.забудем уже про эту.",0
104,"ну насмешил.согласен он петь у нас.а ты спросил,захотим мы тебя слушать?",0
105,"а вас предупреждали,хранитель деньги у нас.не захотели,вот и получите.вы думали,что там ваше бабло будет неприкосновенным и вы сами тоже? как у нас говорят,,получил фашист гранату,,.",0
106,"да роднина  завидует нашим фигуристами,чёрной зависть завидует.в своё время так не могла откатать программу,вот жаба и душит.и действительно вопрос,что она делает в думе со вторым гражданством?гнать надо таких.",0
107,"ну и дура мамашка.троих родила,а не знает,что врачи не рекомендуют таскать детей до трёх лет по разным климатическим зонам.у детского иммунитета ещё мало сил справляется со всем этим.",0
108,"высоко все эти звездульки себя вознесли,тем большее падать.",0
109,"да её и бесплатно слушать не буду.действительно,пусть вместе с валеркой дома воют.",0
110,"люда милая,какой мир? поневоле пришлось оставить у себя 2х мес сфинкса.выросло лысое чудо,ему летом будет 4 года.господи ребёнка не нужно.от него отдыхают только тогда,когда спит.ночью спит на мне.ходит целыми днями за мной как хвостик.только сядешь,он уже на коленках.в туалет или ванну,сидит и орет под дверью.есть ещё шесть подбирашек.хорошо,что есть стайка с кроликами и курями,они периодически мигрируют туда сюда.а вот этот бандит только дома.так что ,мир мне только снится.а сейчас зацвели гиппиаструмы,красные нынче обалденные.",0
111,"что не блядь из дома-2,то что-то из себя корчит.что самка закупилась прокладками? если да,то заткни ими все свои дырки и не вякай.после всех твоих высказываний,кому ты нужна?",0
112,"закрыть таким тварям дорогу в россию и пусть брызжит слюной от злости подальше от нас.как говорят шавка  лает ,а караван идёт.дружно забыли про этих и им хана.",0
113,"какие 5 литров?а 4,5 не хотели.цена поднялась в два раза.у нас такая же фигня,к рыбе в мария на не подойдешь,волосы дыбом от ценников.совсем корпорации берега потеряли.",0
114,"а самим слабо постряпать?пусть задирают цены,не покупайте такие товары хотя бы месяц.что сдохните без печенек? когда торгаши поймут,что товар игнорируют ,спустят цены с неба на землю.",0
115,"у меня на мой вопрос,ответ,что хочешь.да ничего я не хочу.40 лет торчать у плиты,готовя для семьи,все мои хотелки закончились.",0
116,"а зачем нам знать ,где и кого он имеет.предатель родины.",0
117,"моя через три года такая стала.действительно,когда цветет  очень красиво.",0
118,"а у нас их две и убирать никуда не собираюсь,хоз.мыло и доска-отстирывают белые носки на ура.",0
119,"а наш точно такой водохлеб цветет весь год.только собирешься его немного обрезать,а он походу не хочет-сразу выкидывает бутоны.",1
120,"обгадил россию и россиян,все не въездной урод.чтоб ноги его у нас не было.",0
121,"отхреначить плетьми,чтоб живого места не осталось.может тогда мозги включается.хотя вряд ли,таких ушлепков только магила исправит .",0
122,"офигеть,я сначала подумала,что они живые.браво мастерице!",0
123,"не хочет возвращается,да и чёрт с ней,не велика потеря.",0
124,"она что,по одному стежку в день делала? что-то долго вышивала.",0
125,сделать невыездным за его поганый язык и пусть в другом месте зарабатывает.,0
126,"блин,как красиво!и как рукодельницы эту красоту создают?цветочки такие маленькие.",2
127,"это чмо,что живёт в параллельном мире? или папашка не объяснил ей,что такое жизнь?я вообще хуеею от песок свою доченьку приструнивысказываний деток наших властьимущих.вот вырастили выблядков,просто порожаюсь,одни уроды.нет ни чести ,ни совести ,ни родины ,ни флага.",0
128,"да десять куч на это чмо.сколько развелись дармоедов.забудьте про них и сразу увидите их на производстве,голод не тётка.",0
129,"а скольких бросили?и они бедные или умрут от голода ,или подорвутся на минах.кошки хоть мышей половят,а вот собаки? просто жесть.а люди молодцы,что спасают своих питомцев.",0
130,"ой блин сынка поймали на границе,хотел смытся,завернули-служи дурак нацикам,за каторых твоя мамашка злючка ратовала.а для нас эта мадам пройденный этап.свалила,мы про тебя забыли и обратно не ждём.и пофиг,что там с тобой будет.но не дай бог,если наши некоторые придурки её примут,выследить и выкинуть из нашей страны.предатели нам не нужны .и так шкур очень много у нас.",0
131,"вот этотой дебильной консъержки пиздюлей и ввалите.убила бытварь бессердечную,гоните её из вашего дома.",0
132,"о чем с этими шутками договаривается? продались байдену.никчемные людишки.они по телику визжали,что нас уничтожат,так вот,вас уже наши ребята уничтожают ,нациков конечных.и ваши хохлушки как обслуживали запад,так и будут обслуживать в сексуальном плане.а то ,что некоторые чмошницы хохлянские визат,что они к нам приедут работать нянями и типа они будут резать наших детей,спасибо дура,теперь вас никто нанимать не будет.а народ российский уже на взводе,достали вы твари уже всех ,будите рыпатся в нашей стране-порвем на куски и менты не успеют вам ублюдкам помочь.так что,прежде чем тявкать в нашу сторону,подумайте о последствиях,вас уже жалеть никто не будет,только уничтожение.",0
133,"а что ,такую бумагу нужно делать только чисто белой? а если она будет другим цветом,что буквы не увидят? бред какой-то.лишь бы панику поднять.",0
134,"ну что богатейчики,примите эту продажную шкурку? я бы эту тварь не пустила бы на нашу землю.",0
135,а почему россия им должна платить? или у нас деньги нашим людям не нужнысколько можно этих захребетников на наших ог,0
136,"как в её песни-держи меня соломинка ,держи.",0
137,"да уберите её уже,задолбали с этой шалашовкой.свалила из россии и пошла ты нахрен дальше со своим меладзе.переживать никто не будет.",0
138,"господи,гоблин ушастый.",0
139,"а мне пофиг на них.я дома для своих ,по их желанию бутеры готовлю,но и себя не забывают.последнее время стала брезговать покупать такую пищу,лучше своими руками все сделать.",0
140,"а чтож тебя дебилку пиздой не назвали? совсем мозгов нет не у тебя,не у твоего ебаря.",2
141,"нормально выглядит для кормящей мамы.потом войдёт в форму,хотя она хорошо выглядит.",0
142,"похожа на сибирскую.я такую 8 лет назад в ладошке принесла,подкинули на работе.сейчас величавая пушистая дама,старейшина.все остальные шесть подбирашек моложе её.",0
143,а кому интересна жизнь этой хохлушки? свалила из россии и забыли про эту разлучницу.,0
144,"а где нанотехнологие от этой рыжей твари?все их  имущество конфисковать и пусть сидят за рубежом,нам они нфиг не нужны.",0
145,"господа,не надо обижать лошадей.они сильные,красивые грациозные животные,а эта продажная тварь,которая ради денег продаст всех и вся.",0
146,"ну не дураки ? у меня уже 40 лет одна алюминиевая жаровня и две чугунных сковородочки.никогда не подводили и стоили по 1 р 70 коп.а сколько потом после них выкинула всяких супер-пупер навароченых ,со счёта слилась.больше не покупаю такую дрянь,даже бесплатно не нужна.",0
147,"принимайте нациков,а мы потом посмеемся над вами,когда они вам там устроят.завоете,да поздно будет.",0
148,"оленька ,вы правы.от кого не ожидала такого,так это отермольника и хазанова.сдулись наши актёры.вот теперь и думаешь,стоит ли их теперь смотреть?",0
149,что захотела ножки буша опять жрать?,2
150,"а сделайте так,очередная смена шахтеров уходит в забой и пусть с ними тудаже идёт один из тех,кто отвечает за безопасность.я так думаю после этого ,техника безопасности была бы на высшем уровне.пока эти людишки не начнут боятся за свою шкурку,шахтеры будут гибнуть.",0
151,ой спасительница.как буд-то она за свой счёт детей спасала? на божничку ещё эту предательницу посадить.,0
152,у этой особы ещё есть поклонники?,0
153,"хватит про этого козла писать,свалил и флаг в руки.",2
154,"светлана голотовская,я не читатала библию,но там вроде написано бъют по щеке ,подставь другую.меня такой расклад не устраивает.ударили по щеке,так въебу в ответ,что мало не покажется,муж служил в авгане,научил бить.и нашей матушке-россии уже нужно начинать бить,только тогда все это шакалье поймёт или с нами договаривается,или им хана.а все эти ,кто сдриснул из страны,они предатели и их нужно игнорировать.лично моё мнение.",0
155,"да лучше бы ,что бы мама в своё время сделала аборт.сейчас не лицезрели  бы эту дуру.",0
156,"да хоть завозвращайтесь.обосрались,теперь хрен отмоетесь.пусть сидит в своей грязи и не вякает.",0
157,"ну что вы люди хотите от бляди из дома_2?блядь тупая,она и в африке блядь тупая.мозг-то весь вытек в манденку.",0
158,думу думаю про судьбу мою.,0
159,"у этой рыжей гниды нужно все забрать в пользу государства,что осталось в россии.его народ также ненавидит как и горбача.",0
160,"сколько их развелись,даже и не знаешь кто это.и как хорошо ,что не знаем.",0
161,а кто тебя дуру заставлял выходить замуж за таких?,0
162,"хоть у одних головенки работают.задницы-то не хочется  морозить .понимают,что за летом прийдет осень,а потом матушка-зима.была бы моя воля,я бы европу оставила и без газа и без нашей нефти,пусть по прыгают.глядишь гонор влетел бы быстро.хватит с ними нянькатся.задолбали уже по полной.",0
163,"кто за таких переживает?вот посмотрим как ты запереживаешь,когда на твои концерты никто не прийдет.",0
164,"готовишся и готовься,нам-то это зачем.что пытаешься прилепится к славе своей покойной сёстры?",0
165,"алина,а вы что ,живот не видите голый?пусть платье хотькакого цвета будет.",0
166,"нейля мамуля,а что же ты восемь лет молчала,когда нацики долбили донбасс.там тоже есть дети  женщины,старики.про них ты не вспоминала.а сейчас ,когда у россии лопнуло терпение,что во всех своих бедах хохлы обвиняют нас и плюют нам в лицо,теперь ты увидела и детей и женщин и разбитые города.что хотели,то и получили.",0
167,"а что же до конца не оголилась?как только забеременеют,так сразу пузо напоказ,дура.",0
168,"филосов сраный .сорвала спектакль,уволить к черту и никаких денег не платить.",0
169,этот шакал ещё живой? такую гниду нужно на нарах  уже давно держать.а ему все как с гуся вода.,0
170,какие все депрессивные стали.а эту конченную программу кто нибудь смотрел?,0
171,"выгонять,без права въезда.а то действительно обнаглели,дальше уже некуда.",0
172,"все допрыгалась,нет тебе больше веры.",0
173,свалили за бугор и флаг им в руки.теперь действительно талантливым дорога откроется.а то эти фанерные всем дорогу перекрыли.,0
174,такой мадам только кикимору в сказках играть и грим не нужен.,0
175,терпеть немогу эту гундявую.и у неё ещё есть поклонники?,0
176,"какой слабенький оказался,бабенка скулящая.смотреть противно на таких.",0
177,а их кто-то ждёт обратно?,0
178,"да и чёрт с ней.только когда ей хреново станет,не пускать в россию.",0
179,да хватит эту шмару показывать.наплевать на неё и забыть.,0
180,"ещё живая,не прибыли!жаль",0
181,какой хорошенький!,0
182,"что вы все доебались до пенсионеров,извините за мат,но уже достали.что-то пропадает из продажи,виноваты пенсионеры.а если цемент пропадает,то что ,тоже старики виноваты будут?весь цемент скупят.",0
183,таких не жалко.из себя пока ничего не представляют  - пустышки никчемные .кичатся щенки деньгами родителей и дедов . а сами-то что в жизни сделали путнего?,0
184,"да пофиг на них и их детей.дайте нашим не богатым ребятишкам учится нормально.эта мелочь уже воспитана так,что бы к нам простым относится как к недочеловекам.",0
185,"уберите эту шлюху.какая то блядь из дома 2  ещё что-то вякает.себе их оставь,тебе нужнее.",0
186,а где твоя родина?,0
187,"пусть только сучка попробует обратно вернутся,шлюшка из дома 2.што не блядина оттуда,то рот свой разевает .твоё дело свой хавальник открывать только тогда,когда ты сука стоишь на коленях и к тебе подошёл богатейчик,растегнула штаны и работай самка.а наши женщины и без твоих прокладок обойдутся.",0
